食品名,エネルギー (kcal),目安量
ごはん,234,150g
うな重,750,1人前
ピラフ,550,1人前
親子丼,650,1人前
カツ丼,900,1人前
カレーライス,700,1人前
寿司,600,10貫
チキンライス,500,1人前
チャーハン,650,1人前
天丼,750,1人前
ビビンバ,600,1人前
トースト,160,1枚
クロワッサン,180,1個
ロールパン,90,1個
ぶとうパン,110,1個
惣菜パン,300,1個
ハンバーガー,250,1個
ピザ,200,1切れ
サンドウィッチ,300,1パック
かけうどん,320,1杯
天ぷらうどん,500,1杯
ざるそば,300,1人前
ラーメン,500,1杯
チャーシューメン,700,1杯
天津麺,600,1杯
焼きそば,500,1人前
スパゲッティ,600,1人前
お好み焼き,550,1枚
たこ焼き,300,6個
グラタン,450,1人前
野菜炒め,150,1皿
コロッケ,150,1個
なすの油味噌,120,1皿
ほうれん草炒め,80,1皿
野菜の天ぷら,250,1皿
味噌汁,40,1杯
コーンスープ,150,1杯
ウィンナーのソテー,200,3本
おでん,300,1皿
オムレツ,250,1皿
がんもどきの煮物,100,2個
餃子,200,6個
シチュー,400,1杯
魚の照り焼き,200,1切
魚のフライ,250,1個
鮭の塩焼,150,1切
鮭のムニエル,220,1切
刺身,200,1人前
さんまの塩焼,190,1尾
すき焼き,550,1人前
酢豚,480,1人前
たたき,180,1人前
茶碗蒸し,90,1個
天ぷら盛り合わせ,550,1人前
鶏の唐揚げ,450,4個
豚カツ,500,1枚
南蛮漬け,250,1人前
煮魚,180,1切
肉じゃが,260,1人前
ハンバーグ,350,1個
ビーフステーキ,500,1人前
干物,160,1枚
豚肉の生姜焼き,380,1人前
麻婆豆腐,300,1人前
焼き鳥,250,3本
ロールキャベツ,200,2個
卵焼き,160,1人前
目玉焼き,130,1個
納豆,100,1パック
冷奴,70,1丁
春巻き,220,2本
冷やし中華,480,1人前
チンジャオロース,380,1人前
角煮,450,1人前
筑前煮,220,1人前
海鮮丼,550,1人前
ちらし寿司,500,1人前
たい焼き,220,1個
エビチリ,280,1人前
ローストチキン,500,1人前
シュウマイ,250,5個
オムライス,600,1人前
カツカレー,950,1人前
スパゲッティミートソース,600,1人前
エビフライ,340,3本
ポテトサラダ,200,1皿
グリーンサラダ,40,1皿
マカロニサラダ,220,1皿
けんちん汁,120,1杯
豚汁,160,1杯
中華スープ,80,1杯
牛丼,650,1人前
きんぴらごぼう,110,1皿
おにぎり,180,1個
ピザトースト,350,1枚
つけ麺,700,1人前
ホットドッグ,300,1個
フライドポテト,350,Mサイズ
炊き込みご飯,280,1人前
ゴーヤチャンプル,200,1人前
